test_size,nbnn_train,epochs,nblayers,nbnn_test,r2,evs,mae,time
0.95,1,1,1,1,0.8865988623577327,0.8866607441842934,0.2258787040077852,0.5425829887390137
0.95,1,1,1,2,0.8989357411808276,0.8989418715487971,0.2100454514398708,0.5425829887390137
0.95,1,1,1,3,0.9036143476301153,0.9037145727826968,0.20265680555617338,0.5425829887390137
0.95,1,1,1,4,0.8988684349725294,0.8991891016999377,0.20485720394750645,0.5425829887390137
0.95,1,1,1,5,0.8978732908686198,0.8982278654708169,0.20640298677616625,0.5425829887390137
0.95,1,1,1,6,0.8919084817553714,0.8924073235049124,0.21321685509716212,0.5425829887390137
0.95,1,1,1,7,0.8852010465567359,0.8858774546070727,0.22131112401229625,0.5425829887390137
0.95,1,1,1,8,0.8771177995594428,0.8778038484401591,0.22864285562956482,0.5425829887390137
0.95,1,1,1,9,0.8691301684900823,0.8698565339549981,0.2355448792614028,0.5425829887390137
0.95,1,1,1,10,0.8628454371596246,0.8635955377838509,0.2397429924650862,0.5425829887390137
0.95,1,2,1,1,0.8757576691842341,0.8758074175635584,0.23111066947296563,0.28113818168640137
0.95,1,2,1,2,0.8909620387314492,0.890969950705472,0.21838388531074457,0.28113818168640137
0.95,1,2,1,3,0.8900565837624497,0.8901585714728857,0.21798822183481845,0.28113818168640137
0.95,1,2,1,4,0.8805772822680593,0.8808777232036891,0.2240226631312696,0.28113818168640137
0.95,1,2,1,5,0.8702064614005506,0.8705664406031324,0.23467695798715252,0.28113818168640137
0.95,1,2,1,6,0.8579259710462342,0.8584145861010779,0.24602900728215654,0.28113818168640137
0.95,1,2,1,7,0.8461198640026784,0.8467342648119558,0.2576790231951313,0.28113818168640137
0.95,1,2,1,8,0.8343428462540597,0.8349316701692465,0.26699421793865874,0.28113818168640137
0.95,1,2,1,9,0.8229806926499409,0.8235649289625963,0.27636022890801054,0.28113818168640137
0.95,1,2,1,10,0.8123094342492306,0.812875238645298,0.2834535770204017,0.28113818168640137
0.95,1,3,1,1,0.8777491652482448,0.8791596115104179,0.23679028712071132,0.29048705101013184
0.95,1,3,1,2,0.8862528698118545,0.8873398477097576,0.2259873898424317,0.29048705101013184
0.95,1,3,1,3,0.8885504786120951,0.8889230306458648,0.22319327275493964,0.29048705101013184
0.95,1,3,1,4,0.8820874892583411,0.8822506604509845,0.22662472159274932,0.29048705101013184
0.95,1,3,1,5,0.8769643069152694,0.8771493805131682,0.2307697236781221,0.29048705101013184
0.95,1,3,1,6,0.8676907888871968,0.8678291444706835,0.23913071626042678,0.29048705101013184
0.95,1,3,1,7,0.8606355195763447,0.8607186014508743,0.2474168059260167,0.29048705101013184
0.95,1,3,1,8,0.8512663663218705,0.8513657130042508,0.2560147801488671,0.29048705101013184
0.95,1,3,1,9,0.8412315337532491,0.8413379477127754,0.2649257999684053,0.29048705101013184
0.95,1,3,1,10,0.8335967212187922,0.8337185247989134,0.2700415357088401,0.29048705101013184
0.95,1,4,1,1,0.87688558231582,0.8780575913426591,0.23375342133619964,0.30455851554870605
0.95,1,4,1,2,0.8856384702150976,0.8865265929312371,0.22227670299490693,0.30455851554870605
0.95,1,4,1,3,0.8889104404361736,0.8892273540324309,0.21835821132516384,0.30455851554870605
0.95,1,4,1,4,0.8812335027385665,0.8813593585469944,0.22270025152212247,0.30455851554870605
0.95,1,4,1,5,0.8760114955242929,0.876132536542169,0.22631598107599513,0.30455851554870605
0.95,1,4,1,6,0.8662017838274014,0.8662619281751749,0.23580264978648874,0.30455851554870605
0.95,1,4,1,7,0.8556183538438742,0.8556346816039933,0.24701300396999656,0.30455851554870605
0.95,1,4,1,8,0.844106744078865,0.8441205465574506,0.2567559741385956,0.30455851554870605
0.95,1,4,1,9,0.8328339254476367,0.8328439616581854,0.266322174963719,0.30455851554870605
0.95,1,4,1,10,0.8234790857808476,0.8234924969849807,0.27258417648237726,0.30455851554870605
0.95,1,5,1,1,0.8647274102281912,0.8669809998437612,0.24485802159110537,0.3025515079498291
0.95,1,5,1,2,0.8747496523012839,0.8773883956545526,0.23070833041084754,0.3025515079498291
0.95,1,5,1,3,0.8739980523918554,0.8781515061708334,0.23051801425548335,0.3025515079498291
0.95,1,5,1,4,0.8666254635574423,0.8718645201471846,0.23414596826134684,0.3025515079498291
0.95,1,5,1,5,0.8618781273406768,0.8673928939226567,0.23744898505551001,0.3025515079498291
0.95,1,5,1,6,0.855599986486078,0.8617273218997226,0.24256357450952148,0.3025515079498291
0.95,1,5,1,7,0.8510715885629063,0.8578128756936257,0.24900516508685275,0.3025515079498291
0.95,1,5,1,8,0.8446533405918817,0.8513690010011474,0.2534899463308895,0.3025515079498291
0.95,1,5,1,9,0.8364525805407694,0.8432336876860115,0.25900810839630983,0.3025515079498291
0.95,1,5,1,10,0.8291996058178082,0.8357987933555635,0.2625400002707978,0.3025515079498291
0.95,1,6,1,1,0.8840251022391956,0.8843091582121659,0.22344035617783947,0.2898547649383545
0.95,1,6,1,2,0.8984011053852439,0.8985172691660018,0.20865006548202325,0.2898547649383545
0.95,1,6,1,3,0.9004095955914997,0.9004276821919253,0.20465642664768532,0.2898547649383545
0.95,1,6,1,4,0.8925037017496648,0.8926749788213658,0.20993296524996063,0.2898547649383545
0.95,1,6,1,5,0.8874964612989026,0.887708688923228,0.21341975767237048,0.2898547649383545
0.95,1,6,1,6,0.8784737822015588,0.8787963980644774,0.22226844674477322,0.2898547649383545
0.95,1,6,1,7,0.8703042988233116,0.8707366598881114,0.2317339377912402,0.2898547649383545
0.95,1,6,1,8,0.8616213102486208,0.8620097140675453,0.2397790914244027,0.2898547649383545
0.95,1,6,1,9,0.8522595024053543,0.8526369709069105,0.24847010156233124,0.2898547649383545
0.95,1,6,1,10,0.8442235041239545,0.8445757458230926,0.25416758659673866,0.2898547649383545
0.95,1,7,1,1,0.8789628000411902,0.8789632274936533,0.22893643801050703,0.3119313716888428
0.95,1,7,1,2,0.8913612089109493,0.8913716001512169,0.21519239668726795,0.3119313716888428
0.95,1,7,1,3,0.8949655350067136,0.8952079537718178,0.21074975812779145,0.3119313716888428
0.95,1,7,1,4,0.8892508045581529,0.8897004040136778,0.21402553648051456,0.3119313716888428
0.95,1,7,1,5,0.882817482440723,0.8832850928536817,0.21807163159630197,0.3119313716888428
0.95,1,7,1,6,0.8740458169713402,0.8746468539632304,0.22615444571194923,0.3119313716888428
0.95,1,7,1,7,0.8674015289061203,0.8682017857421984,0.2343640626262585,0.3119313716888428
0.95,1,7,1,8,0.8588390579662908,0.8596521250358888,0.24229797684856194,0.3119313716888428
0.95,1,7,1,9,0.8492033823291993,0.8500670736163456,0.2513768332590997,0.3119313716888428
0.95,1,7,1,10,0.8412367195933595,0.8421138396793847,0.257670647373184,0.3119313716888428
0.95,1,8,1,1,0.8880497295159692,0.8885392846996363,0.21982090027696,0.3028583526611328
0.95,1,8,1,2,0.8976062508459646,0.897907242492953,0.20846014414041236,0.3028583526611328
0.95,1,8,1,3,0.9021788913242668,0.9022083744080269,0.20150560666344097,0.3028583526611328
0.95,1,8,1,4,0.8983579502677362,0.8983595995135348,0.20385113779869427,0.3028583526611328
0.95,1,8,1,5,0.8939368895690121,0.8939437373629702,0.20762268575718393,0.3028583526611328
0.95,1,8,1,6,0.8859527325118692,0.8859867204436975,0.21566357057621868,0.3028583526611328
0.95,1,8,1,7,0.8793424528917164,0.8794242618891093,0.22328575369153886,0.3028583526611328
0.95,1,8,1,8,0.8710216941365351,0.8711040074994348,0.23086960549741925,0.3028583526611328
0.95,1,8,1,9,0.8619816769320969,0.8620641139886083,0.23910013638967334,0.3028583526611328
0.95,1,8,1,10,0.8553045816699476,0.8553766563181746,0.24390261596816068,0.3028583526611328
0.95,1,9,1,1,0.8725748656322438,0.8727597422847071,0.23000764566191131,0.30275774002075195
0.95,1,9,1,2,0.8835826717794804,0.8836993140598016,0.2158376848840842,0.30275774002075195
0.95,1,9,1,3,0.8856821279667597,0.8856934139717899,0.21459014394158948,0.30275774002075195
0.95,1,9,1,4,0.8774014347029386,0.8775095490628373,0.2217614208705599,0.30275774002075195
0.95,1,9,1,5,0.8709587947984315,0.8710706877318788,0.22848557032802685,0.30275774002075195
0.95,1,9,1,6,0.8602080649397384,0.8603938460739748,0.2391213379056108,0.30275774002075195
0.95,1,9,1,7,0.8487951165625772,0.849076698261655,0.2507062593515319,0.30275774002075195
0.95,1,9,1,8,0.8368389499722146,0.8370936601320724,0.2606965164277392,0.30275774002075195
0.95,1,9,1,9,0.8254753952326009,0.8257248756221414,0.2706374339338212,0.30275774002075195
0.95,1,9,1,10,0.8170388275519574,0.8172703179225557,0.2769979465151826,0.30275774002075195
0.95,1,10,1,1,0.8725314879879846,0.8746163842092045,0.23232627507642892,0.2938239574432373
0.95,1,10,1,2,0.8858090934234406,0.8874935380308484,0.21784157670070323,0.2938239574432373
0.95,1,10,1,3,0.8855523842447686,0.8862957295728524,0.21701421285480418,0.2938239574432373
0.95,1,10,1,4,0.8757214142368704,0.8761089886805941,0.2234310016342674,0.2938239574432373
0.95,1,10,1,5,0.8686773438658217,0.8690674538822735,0.22995458709373742,0.2938239574432373
0.95,1,10,1,6,0.8574970930195078,0.8577686995636056,0.23941974120331297,0.2938239574432373
0.95,1,10,1,7,0.8491923897607734,0.8493600452370585,0.2487790035998233,0.2938239574432373
0.95,1,10,1,8,0.8374552326235126,0.8376317647491738,0.2579125351899515,0.2938239574432373
0.95,1,10,1,9,0.8248910092042407,0.8250662488526307,0.26713912464674505,0.2938239574432373
0.95,1,10,1,10,0.8146954928180714,0.8148785712098988,0.2734564375856909,0.2938239574432373
0.95,1,11,1,1,0.8664263254978524,0.8665539414065638,0.23423822924724796,0.36696672439575195
0.95,1,11,1,2,0.8794044171481727,0.8794693274231764,0.2219803313793056,0.36696672439575195
0.95,1,11,1,3,0.8797855740874883,0.8798241408215624,0.2207308383209259,0.36696672439575195
0.95,1,11,1,4,0.8705566701572486,0.8707476554480665,0.2289744778728602,0.36696672439575195
0.95,1,11,1,5,0.8637022776634677,0.8638893787806935,0.2369987350875981,0.36696672439575195
0.95,1,11,1,6,0.853403093662962,0.8536715306718283,0.24750890263134884,0.36696672439575195
0.95,1,11,1,7,0.8436152815375053,0.8440123534776635,0.25850095370826753,0.36696672439575195
0.95,1,11,1,8,0.8314277335195158,0.8318138825380038,0.2694935977601257,0.36696672439575195
0.95,1,11,1,9,0.8192019224867519,0.819586241321871,0.2799676742614721,0.36696672439575195
0.95,1,11,1,10,0.8094543764199643,0.8098209512059835,0.2871116803105283,0.36696672439575195
0.95,1,12,1,1,0.8798991653981234,0.8800265909239026,0.2278473239360653,0.30989623069763184
0.95,1,12,1,2,0.8900329079634419,0.8903802454731237,0.21476131683871677,0.30989623069763184
0.95,1,12,1,3,0.8893460534547962,0.8904879624579002,0.21432073999162288,0.30989623069763184
0.95,1,12,1,4,0.8806106824933873,0.8824423488701085,0.2207853340606704,0.30989623069763184
0.95,1,12,1,5,0.8754439083342636,0.8774872200790613,0.2262514404063058,0.30989623069763184
0.95,1,12,1,6,0.8661274235393165,0.8685929620868158,0.23567917571777156,0.30989623069763184
0.95,1,12,1,7,0.8565809790466337,0.859513134501717,0.2461925386197323,0.30989623069763184
0.95,1,12,1,8,0.846644996247579,0.8496539889661588,0.25529890972847447,0.30989623069763184
0.95,1,12,1,9,0.8366448065833936,0.8398108224224965,0.2648010043241173,0.30989623069763184
0.95,1,12,1,10,0.8282173673023964,0.8314632286123882,0.271387750740514,0.30989623069763184
0.95,1,13,1,1,0.8695572243296779,0.8696249248596448,0.23055537939910667,0.3199596405029297
0.95,1,13,1,2,0.8787146230678895,0.8787495195152488,0.21918634085888875,0.3199596405029297
0.95,1,13,1,3,0.8808764605864439,0.8809562009422802,0.21620494199536977,0.3199596405029297
0.95,1,13,1,4,0.8711055357635781,0.8713938115640045,0.22343056330112543,0.3199596405029297
0.95,1,13,1,5,0.8633521403570487,0.8637107732359651,0.2306896979550794,0.3199596405029297
0.95,1,13,1,6,0.8532045891652766,0.8537211587257141,0.24077599292299193,0.3199596405029297
0.95,1,13,1,7,0.8438713531548954,0.8446230725316531,0.250170278954363,0.3199596405029297
0.95,1,13,1,8,0.8336840456205494,0.8344767437366802,0.25843762374337,0.3199596405029297
0.95,1,13,1,9,0.8227100502696985,0.8235723451195818,0.2678139968106942,0.3199596405029297
0.95,1,13,1,10,0.8136482147449342,0.8145064988200081,0.2747699737423356,0.3199596405029297
0.95,1,14,1,1,0.8718739197957505,0.8720087481772061,0.23309094804993408,0.49392008781433105
0.95,1,14,1,2,0.8798820473470661,0.8799493602015683,0.22135051747060816,0.49392008781433105
0.95,1,14,1,3,0.8803208453721765,0.8803720941383957,0.22050579506935847,0.49392008781433105
0.95,1,14,1,4,0.8707237413765627,0.8709440112279819,0.22734945347652558,0.49392008781433105
0.95,1,14,1,5,0.8640841016444611,0.8643022170910497,0.23351930652683714,0.49392008781433105
0.95,1,14,1,6,0.8539445998271036,0.8542328436155986,0.24422017961194784,0.49392008781433105
0.95,1,14,1,7,0.8443170571899626,0.8447329338231563,0.2540645887683263,0.49392008781433105
0.95,1,14,1,8,0.8336023186155613,0.8340156379631978,0.26376058746288583,0.49392008781433105
0.95,1,14,1,9,0.8219256865051283,0.8223569411200499,0.27434842758192757,0.49392008781433105
0.95,1,14,1,10,0.81266381221758,0.8130863580352226,0.28089440678103617,0.49392008781433105
0.95,1,15,1,1,0.8668407252802455,0.8670716101028756,0.23251636914949794,0.34955549240112305
0.95,1,15,1,2,0.8818561580837636,0.8820848147954838,0.2174864537503933,0.34955549240112305
0.95,1,15,1,3,0.8837691942757083,0.8837757351532572,0.21486286803800178,0.34955549240112305
0.95,1,15,1,4,0.8753595819644396,0.875374373518445,0.2217571396955992,0.34955549240112305
0.95,1,15,1,5,0.8724784705793569,0.8724936482855177,0.22647567340705907,0.34955549240112305
0.95,1,15,1,6,0.8646238041900359,0.864667105216242,0.23574379289326816,0.34955549240112305
0.95,1,15,1,7,0.8580998858395064,0.8581940593695693,0.24480200899780669,0.34955549240112305
0.95,1,15,1,8,0.8487612612199879,0.8488474415902023,0.25392470403067946,0.34955549240112305
0.95,1,15,1,9,0.8380442806613762,0.8381290965298294,0.26416937537997276,0.34955549240112305
0.95,1,15,1,10,0.8295684494821921,0.8296362739628843,0.27072911878353634,0.34955549240112305
0.95,1,16,1,1,0.8712435548924541,0.8713676649016624,0.23351223177646357,0.3252253532409668
0.95,1,16,1,2,0.8837570265289915,0.8838922989444606,0.2177393819294137,0.3252253532409668
0.95,1,16,1,3,0.8836522135579138,0.8841942579977818,0.21543760636877304,0.3252253532409668
0.95,1,16,1,4,0.876236836968364,0.8771498629095233,0.22033715067799173,0.3252253532409668
0.95,1,16,1,5,0.8729399805511308,0.8738671468472939,0.22259351681823106,0.3252253532409668
0.95,1,16,1,6,0.8663473289389634,0.8673991794287228,0.22964241662483792,0.3252253532409668
0.95,1,16,1,7,0.8597426746345389,0.860962921944282,0.23746564421071298,0.3252253532409668
0.95,1,16,1,8,0.85057887151465,0.851681315903632,0.24618693738650416,0.3252253532409668
0.95,1,16,1,9,0.8412772856588924,0.8423193445539944,0.25488689007468723,0.3252253532409668
0.95,1,16,1,10,0.8341655081416542,0.8351235636687837,0.26072677896317853,0.3252253532409668
0.95,1,17,1,1,0.8717874381197317,0.872006706986435,0.2321114959962804,0.34769153594970703
0.95,1,17,1,2,0.8837076544000537,0.8838609134994779,0.21901588244267864,0.34769153594970703
0.95,1,17,1,3,0.8857087008856233,0.8857108857917699,0.21681656171544064,0.34769153594970703
0.95,1,17,1,4,0.8758398263486394,0.875917178698751,0.22474693272861382,0.34769153594970703
0.95,1,17,1,5,0.8673521162080766,0.8674346924404681,0.23415026602807515,0.34769153594970703
0.95,1,17,1,6,0.8562320241327313,0.8563798188484755,0.2452653969823767,0.34769153594970703
0.95,1,17,1,7,0.8466810467818454,0.846928004268068,0.2555356005902109,0.34769153594970703
0.95,1,17,1,8,0.8355338635984153,0.8357542696488907,0.264396413173289,0.34769153594970703
0.95,1,17,1,9,0.8240174923024471,0.8242274872659846,0.2738920493710146,0.34769153594970703
0.95,1,17,1,10,0.8143072911371384,0.8144947063264785,0.28054767392957575,0.34769153594970703
0.95,1,18,1,1,0.8697372578893172,0.8702853812812137,0.2319978606678509,0.3376007080078125
0.95,1,18,1,2,0.878881270538611,0.8793611640901392,0.22111400556580557,0.3376007080078125
0.95,1,18,1,3,0.8792736558991346,0.8793818136001893,0.22081613788588098,0.3376007080078125
0.95,1,18,1,4,0.8679808353394436,0.8680044297130844,0.22930214353173145,0.3376007080078125
0.95,1,18,1,5,0.8592451835008114,0.8592695805732826,0.23739160330268208,0.3376007080078125
0.95,1,18,1,6,0.8494903884925757,0.8494953070620863,0.24659652924571926,0.3376007080078125
0.95,1,18,1,7,0.8416383677617076,0.8416386768344232,0.2557762127342855,0.3376007080078125
0.95,1,18,1,8,0.831430201315196,0.8314302026113771,0.26472131053967907,0.3376007080078125
0.95,1,18,1,9,0.8206682466333349,0.820668271050608,0.2739225246653621,0.3376007080078125
0.95,1,18,1,10,0.8119299521869849,0.8119322459394571,0.2796127528568804,0.3376007080078125
0.95,1,19,1,1,0.8690262410697638,0.8690625066209896,0.2330310790463709,0.3160824775695801
0.95,1,19,1,2,0.8822415137077804,0.8822645443634974,0.21986094974121909,0.3160824775695801
0.95,1,19,1,3,0.8858112140630428,0.8858853081589104,0.21750343564366081,0.3160824775695801
0.95,1,19,1,4,0.8784994376736371,0.8787212642055658,0.22369637339039353,0.3160824775695801
0.95,1,19,1,5,0.8728870378391577,0.8731087331848209,0.22979408961628123,0.3160824775695801
0.95,1,19,1,6,0.8632793185323495,0.8635780309323396,0.23990933270533207,0.3160824775695801
0.95,1,19,1,7,0.8537686526130764,0.8542018700212651,0.24999869213720077,0.3160824775695801
0.95,1,19,1,8,0.8435439034916228,0.8439625456989946,0.2593264727553969,0.3160824775695801
0.95,1,19,1,9,0.8330886548529944,0.8335152515891935,0.2687262213277682,0.3160824775695801
0.95,1,19,1,10,0.8256444384141712,0.8260313292389713,0.2743001364599974,0.3160824775695801
0.95,1,20,1,1,0.8628678356120015,0.8631415373838216,0.2362885173291975,0.3385288715362549
0.95,1,20,1,2,0.8709462852598366,0.871085841355226,0.22226856199649542,0.3385288715362549
0.95,1,20,1,3,0.8773935477910544,0.8774054071052605,0.21694467116919794,0.3385288715362549
0.95,1,20,1,4,0.8714893499376616,0.871658473479658,0.22323757438126132,0.3385288715362549
0.95,1,20,1,5,0.8653743794320734,0.8655803732723371,0.22888222383936702,0.3385288715362549
0.95,1,20,1,6,0.8542205535170578,0.8545511987750445,0.2405678377973758,0.3385288715362549
0.95,1,20,1,7,0.8431274148881376,0.8436530651644317,0.25161804519329345,0.3385288715362549
0.95,1,20,1,8,0.8306415228918707,0.8312022128520702,0.2618773193319749,0.3385288715362549
0.95,1,20,1,9,0.8189214452922731,0.8195351275806557,0.2722386496474092,0.3385288715362549
0.95,1,20,1,10,0.8111946563923196,0.8117985620727468,0.2782208511145933,0.3385288715362549
0.955,1,1,1,1,0.7811383721648086,0.7936119137785976,0.29183878016723797,0.26746320724487305
0.955,1,1,1,2,0.8177299451488895,0.8276217539870798,0.26914539717128033,0.26746320724487305
0.955,1,1,1,3,0.8394030343915432,0.8471004979871877,0.26035560343514663,0.26746320724487305
0.955,1,1,1,4,0.8449589534963164,0.8508525239040423,0.26324189998328734,0.26746320724487305
0.955,1,1,1,5,0.8409290734475463,0.8473569029229207,0.2721614297323877,0.26746320724487305
0.955,1,1,1,6,0.8358948191458263,0.8421957117790589,0.2783593740804475,0.26746320724487305
0.955,1,1,1,7,0.825814593844698,0.8324643797043944,0.28693515797940855,0.26746320724487305
0.955,1,1,1,8,0.8174034006153483,0.824258751883131,0.29300902400558887,0.26746320724487305
0.955,1,1,1,9,0.8106684169188472,0.8176985762027204,0.2981832683300146,0.26746320724487305
0.955,1,1,1,10,0.8031910386733482,0.8102514369894894,0.3028452196461995,0.26746320724487305
0.955,1,2,1,1,0.7793253421544594,0.8209034616437534,0.29145155879890966,0.27614760398864746
0.955,1,2,1,2,0.8021212252820327,0.8510450368789578,0.28347939836808517,0.27614760398864746
0.955,1,2,1,3,0.7961852600011242,0.8534514277352816,0.2880593183070412,0.27614760398864746
0.955,1,2,1,4,0.7802203990620185,0.8448498434520184,0.29556902933849083,0.27614760398864746
0.955,1,2,1,5,0.7709666718321946,0.8354805976612585,0.2953649542147178,0.27614760398864746
0.955,1,2,1,6,0.7587172644265892,0.825638286087395,0.302939625989716,0.27614760398864746
0.955,1,2,1,7,0.7507565168573903,0.818473104003793,0.3107106155924794,0.27614760398864746
0.955,1,2,1,8,0.7394664850850301,0.8082246636437631,0.31870386372789505,0.27614760398864746
0.955,1,2,1,9,0.7307805694361702,0.8003495098003641,0.3240774014904225,0.27614760398864746
0.955,1,2,1,10,0.7205382281699821,0.7911348996503978,0.328591522426487,0.27614760398864746
0.955,1,3,1,1,0.8456536776195789,0.8470298340905134,0.24518846740095787,0.2748992443084717
0.955,1,3,1,2,0.8734616236908914,0.8741510298668271,0.22948531555987642,0.2748992443084717
0.955,1,3,1,3,0.8818261972135326,0.8819917907759774,0.2255680893589653,0.2748992443084717
0.955,1,3,1,4,0.8789654664437936,0.8789698264817065,0.2279313151155028,0.2748992443084717
0.955,1,3,1,5,0.8763104370275846,0.8763529612736873,0.23135818083655285,0.2748992443084717
0.955,1,3,1,6,0.8701849639719922,0.8702220964156835,0.23929701311481757,0.2748992443084717
0.955,1,3,1,7,0.8620229254426848,0.8620915432765861,0.251997729819433,0.2748992443084717
0.955,1,3,1,8,0.8516175243341857,0.8517205432020679,0.261839313667965,0.2748992443084717
0.955,1,3,1,9,0.8429153937405945,0.8430363208997194,0.2687898391919682,0.2748992443084717
0.955,1,3,1,10,0.831909089136162,0.832018960763551,0.27608234978477736,0.2748992443084717
0.955,1,4,1,1,0.8057839354525053,0.8120745225053678,0.2608514257663861,0.2880682945251465
0.955,1,4,1,2,0.8286560433749258,0.8330670439217642,0.24563387267889972,0.2880682945251465
0.955,1,4,1,3,0.8347273241582047,0.8372938261150745,0.24450476055362985,0.2880682945251465
0.955,1,4,1,4,0.8314602132423844,0.8327464514277441,0.24531690766613792,0.2880682945251465
0.955,1,4,1,5,0.825239153075882,0.8265921941855051,0.2531813266451836,0.2880682945251465
0.955,1,4,1,6,0.8178699751045392,0.8189552305649054,0.26133102086951404,0.2880682945251465
0.955,1,4,1,7,0.8084316577193991,0.8094848156202441,0.2701848053481098,0.2880682945251465
0.955,1,4,1,8,0.7960233713022873,0.7970379243955478,0.27786320104843104,0.2880682945251465
0.955,1,4,1,9,0.7855184223288793,0.7864874328643912,0.2826673951224042,0.2880682945251465
0.955,1,4,1,10,0.7742506554743405,0.7751681037535549,0.2872691514050813,0.2880682945251465
0.955,1,5,1,1,0.8485372747800248,0.8487527884997275,0.2416899324015199,0.28264594078063965
