test_size,nbnn_train,epochs,nblayers,nbnn_test,r2,evs,mae,time
0.95,1,1,1,1,0.8780227421604249,0.8812363092128062,1395.0139287424042,0.44304823875427246
0.95,1,1,1,2,0.8861484970632618,0.8920403894414587,1327.174655834377,0.44304823875427246
0.95,1,1,1,3,0.8770069198324311,0.8880526324722626,1364.000544741884,0.44304823875427246
0.95,1,1,1,4,0.8598846413136318,0.8751888396159163,1422.6703291595595,0.44304823875427246
0.95,1,1,1,5,0.8469797378955727,0.8649905679696638,1473.3140817823012,0.44304823875427246
0.95,1,1,1,6,0.8315262725768351,0.8527346316020489,1552.8454686948417,0.44304823875427246
0.95,1,1,1,7,0.8188199524719966,0.8434915098207221,1626.5601352422484,0.44304823875427246
0.95,1,1,1,8,0.8069209708545675,0.8340113845960562,1690.7384074638708,0.44304823875427246
0.95,1,1,1,9,0.7938947799393328,0.823517482634839,1752.179507377216,0.44304823875427246
0.95,1,1,1,10,0.7828635595851987,0.8147864832117466,1794.1513263916827,0.44304823875427246
0.95,1,2,1,1,0.8813476768711427,0.8817603879282017,1415.3855328627433,0.2864065170288086
0.95,1,2,1,2,0.895287730831583,0.895723152502979,1322.1116938803063,0.2864065170288086
0.95,1,2,1,3,0.8992091370026116,0.8993248033828214,1289.4053802398835,0.2864065170288086
0.95,1,2,1,4,0.8934814668478689,0.8935098704645557,1318.9966376852594,0.2864065170288086
0.95,1,2,1,5,0.8888234509100564,0.8888488631977187,1353.002461621053,0.2864065170288086
0.95,1,2,1,6,0.8808998187700685,0.8809065932807393,1407.041549792637,0.2864065170288086
0.95,1,2,1,7,0.8726706434003578,0.8726706452545644,1463.1762332188082,0.2864065170288086
0.95,1,2,1,8,0.8633994902448697,0.8633994988728129,1518.484725639032,0.2864065170288086
0.95,1,2,1,9,0.8540196372379165,0.8540198436938031,1569.6889081393667,0.2864065170288086
0.95,1,2,1,10,0.8467847378750141,0.8467849861033427,1600.997252621949,0.2864065170288086
