test_size,nbnn_train,epochs,nblayers,nbnn_test,r2,evs,mae,time
0.95,1,1,1,1,0.8052399537977173,0.8057652805173621,0.30217764469557096,0.3971548080444336
0.95,1,1,1,2,0.8291052523305534,0.8296730815433658,0.28064585510981455,0.3971548080444336
0.95,1,1,1,3,0.8357768795952898,0.836325345967166,0.27358589697108565,0.3971548080444336
0.95,1,1,1,4,0.8338315724303434,0.8344784717958939,0.27561341534781997,0.3971548080444336
0.95,1,1,1,5,0.8310188266894809,0.8316591459759006,0.2775293993525299,0.3971548080444336
0.95,1,1,1,6,0.8253044152024562,0.8259040718677217,0.2824445326297927,0.3971548080444336
0.95,1,1,1,7,0.8210994443764289,0.8217366333015126,0.2872235877102313,0.3971548080444336
0.95,1,1,1,8,0.8157889902076069,0.8163463134417536,0.29285153188820967,0.3971548080444336
0.95,1,1,1,9,0.8110957246513814,0.8117199104786685,0.2965172645301322,0.3971548080444336
0.95,1,1,1,10,0.805832289998099,0.8064659302730779,0.3005359809932476,0.3971548080444336
0.95,1,2,1,1,0.7811473522861567,0.7904628166946467,0.33501284000487835,0.28308534622192383
0.95,1,2,1,2,0.8079824362003434,0.816560604125475,0.3111653824256647,0.28308534622192383
0.95,1,2,1,3,0.8145613382524208,0.8222059127692538,0.30536068904624897,0.28308534622192383
0.95,1,2,1,4,0.8112059106376119,0.8186440369806562,0.3087554787845588,0.28308534622192383
0.95,1,2,1,5,0.8086065323965058,0.8156318821650357,0.3101342879278092,0.28308534622192383
0.95,1,2,1,6,0.8031115994910837,0.8094524988697154,0.31327403039596974,0.28308534622192383
0.95,1,2,1,7,0.7982424173889304,0.8041998776677475,0.3177931596328316,0.28308534622192383
0.95,1,2,1,8,0.7937353452000645,0.799036419016025,0.3219722917957613,0.28308534622192383
0.95,1,2,1,9,0.789176895160953,0.7943306688159085,0.32516662743493274,0.28308534622192383
0.95,1,2,1,10,0.7837297423775101,0.7885911109840172,0.32851486657935697,0.28308534622192383
0.95,1,3,1,1,0.7893948068504101,0.7922165564248659,0.32218521365023556,0.2869875431060791
0.95,1,3,1,2,0.8153357881124454,0.8179040627643854,0.2984397688377361,0.2869875431060791
0.95,1,3,1,3,0.8229848359650372,0.825213366942439,0.29072836005673836,0.2869875431060791
0.95,1,3,1,4,0.8202373470933714,0.822463396521817,0.29384852052960786,0.2869875431060791
0.95,1,3,1,5,0.8156317705208981,0.8177535628371266,0.2977070072583184,0.2869875431060791
0.95,1,3,1,6,0.8081943945052845,0.8101264880670558,0.302656626351049,0.2869875431060791
0.95,1,3,1,7,0.8018152277476434,0.8036916068758926,0.30851041333563595,0.2869875431060791
0.95,1,3,1,8,0.795418427355971,0.7970429208106731,0.31412312905702006,0.2869875431060791
0.95,1,3,1,9,0.7897593004071188,0.791381487638903,0.31792366750849016,0.2869875431060791
0.95,1,3,1,10,0.7827810964232217,0.7843002666248065,0.3234474240901654,0.2869875431060791
0.95,1,4,1,1,0.7920737222572702,0.7970246909368135,0.31680931094581416,0.2914297580718994
0.95,1,4,1,2,0.8200959027558191,0.824598045518668,0.2913461801706788,0.2914297580718994
0.95,1,4,1,3,0.8283431588184765,0.8322227618994951,0.2835598005395859,0.2914297580718994
0.95,1,4,1,4,0.826527206371593,0.8302478471770386,0.28698652529846913,0.2914297580718994
0.95,1,4,1,5,0.8238631226795233,0.8271727950926872,0.28900843564267925,0.2914297580718994
0.95,1,4,1,6,0.817486863195506,0.8203634303494323,0.2947061896190466,0.2914297580718994
0.95,1,4,1,7,0.812023884414877,0.8146805728654427,0.3006374139177017,0.2914297580718994
0.95,1,4,1,8,0.8053627579446085,0.8076542839180156,0.30779406504478596,0.2914297580718994
0.95,1,4,1,9,0.7996559947077879,0.8019202598174154,0.3120875474988221,0.2914297580718994
0.95,1,4,1,10,0.792186341287924,0.7942767152217207,0.31767365872296965,0.2914297580718994
0.95,1,5,1,1,0.7889351494419727,0.7895861121466028,0.3149698185922007,0.2966461181640625
0.95,1,5,1,2,0.8169866255386264,0.8175080309459759,0.2905736731854418,0.2966461181640625
0.95,1,5,1,3,0.8250364526856201,0.8254071679298877,0.28381380050960214,0.2966461181640625
0.95,1,5,1,4,0.8217729363928714,0.8221459987460603,0.28869197780178024,0.2966461181640625
0.95,1,5,1,5,0.81757470073537,0.8178886517360484,0.2927807318282929,0.2966461181640625
