test_size,nbnn_train,epochs,nblayers,nbnn_test,r2,evs,mae,time
0.95,1,1,1,1,0.8092274749598832,0.8100238503626067,1063.4757751830025,0.38260602951049805
0.95,1,1,1,2,0.8378080854888614,0.8386556938686651,965.4660607866367,0.38260602951049805
0.95,1,1,1,3,0.8453254703952034,0.8461527469101031,935.8571432678617,0.38260602951049805
0.95,1,1,1,4,0.843947913877156,0.8448894125356836,946.9822219722311,0.38260602951049805
0.95,1,1,1,5,0.8416965595922538,0.842635585054684,953.974712841989,0.38260602951049805
0.95,1,1,1,6,0.8362813072633051,0.8371349284666278,970.1211238126648,0.38260602951049805
0.95,1,1,1,7,0.8317720650641798,0.8326536150889028,987.4556230881429,0.38260602951049805
0.95,1,1,1,8,0.8259804639561806,0.8267821667106812,1009.6560427907374,0.38260602951049805
0.95,1,1,1,9,0.8214153145604107,0.8223104924731695,1022.4435552119135,0.38260602951049805
0.95,1,1,1,10,0.8157294216643279,0.8166324423102841,1037.1963729441388,0.38260602951049805
0.95,1,2,1,1,0.8178800261345264,0.8184738603036545,1031.34036295977,0.2725794315338135
0.95,1,2,1,2,0.8454127506438508,0.8459046872038035,938.4005576340676,0.2725794315338135
0.95,1,2,1,3,0.8530011120176344,0.8533425557760299,909.8734483968568,0.2725794315338135
0.95,1,2,1,4,0.8522082506077008,0.8525224656910151,917.9924726503082,0.2725794315338135
0.95,1,2,1,5,0.8504993397710647,0.8507293645102376,923.5741028070802,0.2725794315338135
0.95,1,2,1,6,0.845900877797161,0.8460342887944976,939.6661848275295,0.2725794315338135
0.95,1,2,1,7,0.8417088662882162,0.841795632700026,955.9019037410344,0.2725794315338135
0.95,1,2,1,8,0.8372682887989795,0.8372965471565234,973.8924881193437,0.2725794315338135
0.95,1,2,1,9,0.8331711865147031,0.8331930542752553,985.464153311633,0.2725794315338135
0.95,1,2,1,10,0.8283987182926742,0.8284062818964314,999.320048909388,0.2725794315338135
0.95,1,3,1,1,0.7936690533342774,0.7939593118684329,1114.8862607271974,0.27443861961364746
0.95,1,3,1,2,0.8227989266156972,0.8231973140015872,1023.8079511957917,0.27443861961364746
0.95,1,3,1,3,0.8300270225618881,0.830477016922415,997.9863269841073,0.27443861961364746
0.95,1,3,1,4,0.8270660225612089,0.8277512405593836,1010.9879342632576,0.27443861961364746
0.95,1,3,1,5,0.8224958124268271,0.8233025883757997,1021.9449409914725,0.27443861961364746
