test_size,epochs,nblayers,fake,r2,evs,mae,time
0.95,1,1,1,0.388370690182234,0.3885326777953292,0.5889338997535696,0.6131558418273926
0.95,2,1,1,0.30140067535429904,0.30140778268906243,0.6249512775304404,0.5133538246154785
0.95,3,1,1,0.4338623381233109,0.4363614748064868,0.5607368338261907,0.6017417907714844
0.95,4,1,1,0.6006531741960223,0.6023419813980078,0.4417366853384794,0.6409633159637451
0.95,5,1,1,0.5796852809237587,0.5802110746838416,0.465340174603719,0.6974880695343018
0.95,6,1,1,0.5171939469999856,0.5285579340769797,0.5165672129929009,0.8860728740692139
0.95,7,1,1,0.7064424796025248,0.7070792006555682,0.3892830892727525,0.8813619613647461
0.95,8,1,1,0.6985707448040445,0.6988614535804346,0.3919195984198599,0.8856995105743408
0.95,9,1,1,0.6814624476827487,0.681494891794055,0.3890290541838338,0.9588453769683838
0.95,10,1,1,0.7972239229259622,0.7972931122180542,0.3102715033110113,1.0069689750671387
0.95,11,1,1,0.7814168173375112,0.7815714860670088,0.3304785876161335,1.0891380310058594
0.95,12,1,1,0.8239304103537795,0.8239366668691216,0.2837703525074739,1.1481726169586182
0.95,13,1,1,0.8261074041881458,0.826142054094103,0.28533021442279716,1.235976219177246
0.95,14,1,1,0.8260147119978545,0.8260147120925321,0.2872487206698019,1.3349246978759766
0.95,15,1,1,0.8376624132342269,0.8382330772422838,0.27663553404125496,1.6348485946655273
0.95,16,1,1,0.8383178500646418,0.8384140100506055,0.2726361910184437,1.4529616832733154
0.95,17,1,1,0.843245787650473,0.8437640362042491,0.26445136959039894,1.4687213897705078
0.95,18,1,1,0.852259371567945,0.8526469796976408,0.2603583137536594,1.6166903972625732
0.95,19,1,1,0.8436697212678765,0.8437112841653368,0.2693306867811209,1.729149341583252
0.95,20,1,1,0.8430069207203377,0.8434389126783697,0.26685706791424874,1.7564449310302734
0.955,1,1,1,0.33683966582376446,0.336938799013495,0.6348840322788761,0.4821484088897705
0.955,2,1,1,0.014742108517309616,0.0190656105644873,0.7773854513375967,0.5119531154632568
0.955,3,1,1,0.23093962417725544,0.26839641560066196,0.6502549821499761,0.5916037559509277
0.955,4,1,1,0.44272680422357036,0.46132103501886934,0.5389780595544518,0.7362027168273926
0.955,5,1,1,0.6199701520241738,0.6212587880614899,0.4708903131822828,0.7631700038909912
0.955,6,1,1,0.5951207655382855,0.5967736790239391,0.4465050418270588,0.7812650203704834
0.955,7,1,1,0.5790007673469386,0.5804146030715548,0.4600285076220309,0.8507676124572754
0.955,8,1,1,0.6116649770363201,0.6132444619692861,0.4555784224555241,0.9638783931732178
0.955,9,1,1,0.7134447339977312,0.7134691736731715,0.37662373050646203,0.9507753849029541
0.955,10,1,1,0.6780194473974434,0.6784631962145485,0.3866583431346382,1.1189587116241455
0.955,11,1,1,0.7456313412000578,0.7456466995358688,0.34078850806088556,1.170652151107788
0.955,12,1,1,0.7370839029786296,0.7373662891711958,0.34299933951863315,1.3928346633911133
0.955,13,1,1,0.7614864575433418,0.761494226706984,0.33525116813055933,1.3097825050354004
